,agent,model,omega,beta,ll,group,ntrials,exp,prolificID
221,59daff10e776fd00015ec7ec,perceptual,0.08797686602920296,5.1207538694143295,95.82485501826385,perceptual,287,FullPilot13,59daff10e776fd00015ec7ec
222,66f09b3690fe3df51613a689,map,0.4636581415310502,4.943023845553398,50.0764284235302,combined,288,FullPilot12,66f09b3690fe3df51613a689
223,66f09b3690fe3df51613a689,value,0.8457998543977737,10.281609296798706,81.65723295781284,combined,288,FullPilot12,66f09b3690fe3df51613a689
224,66f09b3690fe3df51613a689,perceptual,0.05456361770629886,26.211509704589844,76.88029204193637,combined,288,FullPilot12,66f09b3690fe3df51613a689
225,5d012b5ffade220017b10010,map,0.6199695397168398,5.497428327798843,50.87816480806126,combined,288,FullPilot12,5d012b5ffade220017b10010
226,5d012b5ffade220017b10010,value,0.9172581337392329,16.15486018359661,85.99544559492618,combined,288,FullPilot12,5d012b5ffade220017b10010
227,5d012b5ffade220017b10010,perceptual,0.19502038955688478,13.682422637939453,67.55491601943685,combined,288,FullPilot12,5d012b5ffade220017b10010
228,664218e510e790cd8414d32c,map,0.8726996749639511,2.3033607006073,69.95991911175983,perceptual,288,FullPilot13,664218e510e790cd8414d32c
229,664218e510e790cd8414d32c,value,0.9994247436523437,374.47951793670654,99.32951904301049,perceptual,288,FullPilot13,664218e510e790cd8414d32c
230,664218e510e790cd8414d32c,perceptual,0.059659244865179095,33.38665954768658,70.51694612967563,perceptual,288,FullPilot13,664218e510e790cd8414d32c
231,57bb618b8e26d6000196c3bb,map,0.8333197141502751,4.052743599750102,38.756165692643116,perceptual,286,FullPilot13,57bb618b8e26d6000196c3bb
232,57bb618b8e26d6000196c3bb,value,0.9995327369309961,498.38351426646113,99.26556532458002,perceptual,286,FullPilot13,57bb618b8e26d6000196c3bb
233,57bb618b8e26d6000196c3bb,perceptual,0.35949859619140623,9.129195213317871,40.387621360561496,perceptual,286,FullPilot13,57bb618b8e26d6000196c3bb
234,65fb2b6d968812efd360f8f7,map,0.18321684598922733,7.1736907958984375,38.64484252265386,combined,288,FullPilot13,65fb2b6d968812efd360f8f7
235,65fb2b6d968812efd360f8f7,value,0.3460197448730469,7.3614501953125,46.13390505573951,combined,288,FullPilot13,65fb2b6d968812efd360f8f7
236,65fb2b6d968812efd360f8f7,perceptual,0.04739761352539068,8.33984375,97.61532749230891,combined,288,FullPilot13,65fb2b6d968812efd360f8f7
237,66feef40402fdd04d44aa7e0,map,0.4923443853855133,2.607724666595459,74.83000787328874,combined,287,FullPilot13,66feef40402fdd04d44aa7e0
238,66feef40402fdd04d44aa7e0,value,0.9944922685623169,194.78096723556519,91.42365360037265,combined,287,FullPilot13,66feef40402fdd04d44aa7e0
239,66feef40402fdd04d44aa7e0,perceptual,0.05916227344423536,19.349311143159866,83.59577012067368,combined,287,FullPilot13,66feef40402fdd04d44aa7e0
240,5aef9ea244c9bc0001f4cf78,map,0.34667937105405144,4.248657963471487,56.53249470344593,combined,288,FullPilot13,5aef9ea244c9bc0001f4cf78
241,5aef9ea244c9bc0001f4cf78,value,0.8481172561645507,13.420639038085938,74.15076734757278,combined,288,FullPilot13,5aef9ea244c9bc0001f4cf78
242,5aef9ea244c9bc0001f4cf78,perceptual,0.04959745407104499,18.07567596435547,87.75619293476142,combined,288,FullPilot13,5aef9ea244c9bc0001f4cf78
