agent,model,original_model,ll,fitted_rl_temp,fitted_perceptual_temp,rl_temp,perceptual_temp
29,NormativeLogRatio,balanced,15.871441368644152,2.8692328286670676,2.7116647793604454,5.0,5.0
30,NormativeLogRatio,value neglect,21.718344064755446,0.9084114102300447,6.760303594593945,1.0,10.0
31,NormativeLogRatio,perceptual neglect,16.199270810247963,5.287323229555638,0.8915555599184488,10.0,1.0
32,NormativeLogRatio,random,33.44969013723464,0.5407955809632965,0.0,,
33,NormativeLogRatio,balanced,11.926622304643304,4.861152663585981,5.584580797301198,5.0,5.0
34,NormativeLogRatio,value neglect,17.668051747430344,0.0,4.994237802790431,1.0,10.0
35,NormativeLogRatio,perceptual neglect,14.278632341970244,4.708497236138767,0.0,10.0,1.0
36,NormativeLogRatio,random,33.895774581682424,0.13737803236878748,0.0,,
37,NormativeLogRatio,balanced,25.00471856497195,4.28336447513949,2.7633270967585233,5.0,5.0
38,NormativeLogRatio,value neglect,9.177585549094152,2.1997801642909605,6.407078134594159,1.0,10.0
39,NormativeLogRatio,perceptual neglect,13.132371734281524,6.141773889687211,0.08229742491856139,10.0,1.0
40,NormativeLogRatio,random,33.964211847437284,0.0,0.0,,
41,NormativeLogRatio,balanced,14.73731720791682,3.3915805845370084,3.5974177409948846,5.0,5.0
42,NormativeLogRatio,value neglect,7.500816549945003,1.9493742278508626,11.086483913264395,1.0,10.0
43,NormativeLogRatio,perceptual neglect,9.917700729291724,5.976996570241553,0.0,10.0,1.0
44,NormativeLogRatio,random,33.964211847437284,0.0,0.0,,
45,NormativeLogRatio,balanced,6.185145849546718,6.575673018181399,4.502953401309199,5.0,5.0
46,NormativeLogRatio,value neglect,15.665932394642898,0.2761852274157294,4.517964421104504,1.0,10.0
47,NormativeLogRatio,perceptual neglect,17.22971558264217,5.345999585107166,0.0,10.0,1.0
48,NormativeLogRatio,random,33.237604807693046,0.8788496534991633,0.31438077153175453,,
49,NormativeLogRatio,balanced,16.290261289852047,4.294532605691629,3.8672175580747914,5.0,5.0
