agent,expName,group,model_original,model_fitted,value_fitted,value_original,ll,param,param2,n_param,bic,winning,p(model),p_model
6167175ed1680ecefc063aed,FullPilot12,perceptual,absolute-var,absolute,237.830078125,297.0,132.201339670218,$\beta_V$,beta_ss,2,277.1148946618278,True,1.7615492213894057e-25,1.7615492213894057e-25
6167175ed1680ecefc063aed,FullPilot12,perceptual,absolute,absolute-var,344.76978810178116,44.0,103.15088736278354,$\beta_P$,beta_ff,2,219.01399004695887,True,0.9997837017292692,0.9997837017292692
6167175ed1680ecefc063aed,FullPilot12,perceptual,absolute,absolute-var,528.7264218577184,860.0,103.15088736278354,$\beta_V$,beta_ss,2,219.01399004695887,True,0.9997837017292692,0.9997837017292692
6167175ed1680ecefc063aed,FullPilot12,perceptual,absolute,absolute,265.47641015052795,44.0,103.7672783551028,$\beta_P$,beta_ff,2,220.2467720315974,True,0.00021629827073069223,0.00021629827073069223
6167175ed1680ecefc063aed,FullPilot12,perceptual,absolute,absolute,746.4895610809326,860.0,103.7672783551028,$\beta_V$,beta_ss,2,220.2467720315974,True,0.00021629827073069223,0.00021629827073069223
66bb5ad727c62d0960db333c,FullPilot12,perceptual,absolute-var,absolute-var,180.33811855316162,71.0,106.19484918235011,$\beta_P$,beta_ff,2,225.10191368609202,True,0.9999999999997067,0.9999999999997067
66bb5ad727c62d0960db333c,FullPilot12,perceptual,absolute-var,absolute-var,479.8853569030762,329.0,106.19484918235011,$\beta_V$,beta_ss,2,225.10191368609202,True,0.9999999999997067,0.9999999999997067
66bb5ad727c62d0960db333c,FullPilot12,perceptual,absolute-var,absolute,17.0810546875,71.0,117.01851729505987,$\beta_P$,beta_ff,2,246.74924991151153,True,2.932149067851665e-13,2.932149067851665e-13
66bb5ad727c62d0960db333c,FullPilot12,perceptual,absolute-var,absolute,690.5361328125,329.0,117.01851729505987,$\beta_V$,beta_ss,2,246.74924991151153,True,2.932149067851665e-13,2.932149067851665e-13
66bb5ad727c62d0960db333c,FullPilot12,perceptual,absolute,absolute-var,397.72237912076525,84.0,102.13191605583914,$\beta_P$,beta_ff,2,216.97604743307008,True,0.9999999999991536,0.9999999999991536
66bb5ad727c62d0960db333c,FullPilot12,perceptual,absolute,absolute-var,921.5508953619283,556.0,102.13191605583914,$\beta_V$,beta_ss,2,216.97604743307008,True,0.9999999999991536,0.9999999999991536
66bb5ad727c62d0960db333c,FullPilot12,perceptual,absolute,absolute,347.0161060551145,84.0,112.42779693329419,$\beta_P$,beta_ff,2,237.56780918798017,True,8.465427704268407e-13,8.465427704268407e-13
66bb5ad727c62d0960db333c,FullPilot12,perceptual,absolute,absolute,904.6934237180903,556.0,112.42779693329419,$\beta_V$,beta_ss,2,237.56780918798017,True,8.465427704268407e-13,8.465427704268407e-13
64db80772c860983ea3a7310,FullPilot12,random,absolute-var,absolute-var,697.6248931884766,473.0,112.45831972169044,$\beta_P$,beta_ff,2,237.62885476477268,True,1.0,1.0
64db80772c860983ea3a7310,FullPilot12,random,absolute-var,absolute-var,145.77708053588867,20.0,112.45831972169044,$\beta_V$,beta_ss,2,237.62885476477268,True,1.0,1.0
64db80772c860983ea3a7310,FullPilot12,random,absolute-var,absolute,571.5264401584864,473.0,131.130667244811,$\beta_P$,beta_ff,2,274.9735498110138,True,4.465907559877712e-20,4.465907559877712e-20
64db80772c860983ea3a7310,FullPilot12,random,absolute-var,absolute,55.82565876841545,20.0,131.130667244811,$\beta_V$,beta_ss,2,274.9735498110138,True,4.465907559877712e-20,4.465907559877712e-20
64db80772c860983ea3a7310,FullPilot12,random,absolute,absolute-var,805.6790745044709,434.0,96.76198348774759,$\beta_P$,beta_ff,2,206.23618229688697,True,1.0,1.0
64db80772c860983ea3a7310,FullPilot12,random,absolute,absolute-var,163.06162096909247,64.0,96.76198348774759,$\beta_V$,beta_ss,2,206.23618229688697,True,1.0,1.0
64db80772c860983ea3a7310,FullPilot12,random,absolute,absolute,654.1405639648438,434.0,113.01433515254735,$\beta_P$,beta_ff,2,238.7408856264865,True,5.674454473836871e-18,5.674454473836871e-18
64db80772c860983ea3a7310,FullPilot12,random,absolute,absolute,103.85174560546875,64.0,113.01433515254735,$\beta_V$,beta_ss,2,238.7408856264865,True,5.674454473836871e-18,5.674454473836871e-18
657b6239aa8091bfa2b24ae0,FullPilot12,perceptual,absolute-var,absolute-var,907.264892578125,601.0,117.92140282869318,$\beta_P$,beta_ff,2,248.55502097877815,True,1.0,1.0
657b6239aa8091bfa2b24ae0,FullPilot12,perceptual,absolute-var,absolute-var,908.8486328125,608.0,117.92140282869318,$\beta_V$,beta_ss,2,248.55502097877815,True,1.0,1.0
657b6239aa8091bfa2b24ae0,FullPilot12,perceptual,absolute-var,absolute,423.4931640625,601.0,138.48268870410337,$\beta_P$,beta_ff,2,289.67759272959853,True,1.02140674917612e-21,1.02140674917612e-21
