"prolificID","session","t","block","choice","outcome","cfoutcome","choseLeft","op1IsLeft","moveTime","fireTime","leftCount","rightCount","ev1","ev2","p1","p2","missedTrial","score","datetime"
"test","3","1","0","1","64","20","0","0","840","1021","0","1","62","38","0.167982","0.549834","1","66","2024-01-09 13:14:58"
"test","3","2","1","1","55","9","0","0","1199","1324","0","1","72","28","0.645656","0.450166","0","121","2024-01-09 13:15:03"
"test","3","3","1","1","63","22","0","0","1280","1616","1","1","72","28","0.645656","0.832018","0","184","2024-01-09 13:15:09"
"test","3","0","0","2","21","59","0","0","778","1246","1","1","62","38","0.832018","0.354344","0","21","2024-01-09 13:20:50"
"test","3","1","1","1","68","21","0","0","419","734","0","1","72","28","0.231475","0.354344","0","21","2024-01-09 13:20:54"
"test","3","2","1","1","88","37","0","1","899","1070","1","0","72","28","0.119203","0.880797","1","21","2024-01-09 13:20:59"
"test","3","0","1","2","35","77","0","0","919","1356","1","1","72","28","0.645656","0.768525","0","35","2024-01-09 14:57:36"
"test","3","1","1","2","2","57","0","0","79","792","1","1","72","28","0.167982","0.832018","0","37","2024-01-09 14:57:41"
"test","3","0","1","1","31","3","0","0","679","1206","0","1","72","28","0.768525","0.450166","0","31","2024-01-09 14:58:40"
"test","3","1","0","2","61","30","0","0","739","842","1","0","62","38","0.167982","0.450166","0","92","2024-01-09 14:58:44"
"test","3","0","0","1","70","40","0","0","199","701","1","1","62","38","0.645656","0.354344","0","0","2024-01-09 15:00:29"
"test","3","1","1","1","68","23","0","0","579","665","0","1","72","28","0.645656","0.549834","0","68","2024-01-09 15:00:33"
"test","2","0","1","2","37","65","0","0","19","2262","1","0","72","28","1","1","0","37","2024-01-09 15:38:37"
"test","2","1","0","1","60","43","0","0","459","730","0","1","62","38","1","1","0","97","2024-01-09 15:38:42"
"test","2","2","0","2","46","69","0","0","859","1142","1","0","62","38","1","1","0","143","2024-01-09 15:38:46"
"test","2","3","1","2","63","39","0","0","960","1418","1","0","72","28","1","1","0","206","2024-01-09 15:38:52"
"test","2","4","1","2","44","71","0","0","1759","1909","1","0","72","28","1","1","0","250","2024-01-09 15:38:57"
"test","2","5","0","1","59","68","0","1","1120","1210","1","0","62","38","1","1","0","309","2024-01-09 15:39:02"
"test","2","6","0","2","47","30","0","0","1059","1154","1","0","62","38","1","1","0","356","2024-01-09 15:39:07"
"test","2","7","1","2","21","61","0","0","1719","1894","1","0","72","28","1","1","0","377","2024-01-09 15:39:12"
"test","2","8","1","2","39","17","0","1","699","1126","0","1","72","28","1","1","0","416","2024-01-09 15:39:17"
"test","2","9","0","2","39","17","0","0","2320","3817","2","1","62","38","1","1","1","416","2024-01-09 15:39:24"
"test","2","0","0","1","48","55","0","1","779","1481","1","0","62","38","1","1","0","48","2024-01-09 15:39:54"
"test","2","1","1","1","57","54","0","1","1019","1481","1","0","72","28","1","1","0","105","2024-01-09 15:40:00"
"test","2","2","0","2","57","15","0","1","1780","2009","0","1","62","38","1","1","0","162","2024-01-09 15:40:06"
"test","2","3","0","1","56","56","0","0","1079","1333","0","1","62","38","1","1","0","218","2024-01-09 15:40:11"
"test","2","4","0","1","51","21","0","0","820","1781","0","1","62","38","1","1","0","269","2024-01-09 15:40:16"
"test","2","5","1","1","6","59","0","0","659","1613","0","1","72","28","1","1","0","275","2024-01-09 15:40:22"
"test","2","6","1","1","57","63","0","1","420","673","1","0","72","28","1","1","0","332","2024-01-09 15:40:26"
"test","2","7","1","1","77","53","0","0","720","1077","1","1","72","28","1","1","0","409","2024-01-09 15:40:31"
"test","2","8","1","1","52","8","0","0","880","1465","1","2","72","28","1","1","0","461","2024-01-09 15:40:36"
"test","2","9","0","1","52","8","0","0","3814","3814","0","0","62","38","1","1","1","461","2024-01-09 15:40:43"
"test","2","10","0","1","73","12","0","1","2599","2725","1","0","62","38","1","1","0","534","2024-01-09 15:40:50"
"test","2","0","1","1","22","61","0","1","1881","2072","1","0","72","28","1","1","0","22","2024-01-09 15:41:29"
"test","2","1","0","2","89","47","0","0","820","1376","1","0","62","38","1","1","0","111","2024-01-09 15:41:35"
"test","2","2","1","2","43","45","0","0","1219","1675","1","0","72","28","1","1","0","154","2024-01-09 15:41:40"
"test","2","3","1","1","18","19","0","1","999","1331","1","0","72","28","1","1","0","172","2024-01-09 15:41:45"
"test","2","4","0","1","43","47","0","1","979","1468","1","1","62","38","1","1","0","215","2024-01-09 15:41:50"
"test","2","5","0","1","9","17","0","0","139","307","0","1","62","38","1","1","0","224","2024-01-09 15:41:55"
"test","1","0","-1","1","0","0","0","0","179","400","0","1","50","50","0.832018","0.880797","0","0","2024-01-09 15:42:28"
"test","1","1","-1","1","0","0","0","0","3140","3771","0","1","50","50","0.354344","0.119203","1","0","2024-01-09 15:42:35"
"test","1","0","-1","1","0","0","0","0","739","928","2","2","50","50","0.549834","0.167982","0","0","2024-01-09 15:45:23"
"test","1","1","-1","1","0","0","0","1","660","776","1","0","50","50","0.880797","0.119203","0","0","2024-01-09 15:45:28"
"test","2","0","0","2","53","50","0","0","2159","2422","1","0","62","38","1","1","0","53","2024-01-09 16:14:30"
"test","2","1","1","1","49","27","0","0","479","926","0","1","72","28","1","1","0","102","2024-01-09 16:14:35"
"test","2","0","0","1","92","34","0","0","899","1150","0","1","62","38","1","1","0","92","2024-01-09 16:14:49"
"test","2","1","1","2","47","55","0","0","939","1223","1","0","72","28","1","1","0","139","2024-01-09 16:14:54"
"test","3","0","0","1","90","52","0","0","1279","2187","1","2","62","38","0.768525","0.167982","1","0","2024-01-09 16:18:12"
"test","3","1","1","2","43","72","0","1","640","760","0","1","72","28","0.231475","0.832018","0","43","2024-01-09 16:18:16"
"test","3","2","1","2","49","34","0","1","660","1267","0","1","72","28","0.231475","0.832018","0","92","2024-01-09 16:18:21"
"test","3","3","0","1","57","40","0","1","1480","1927","1","1","62","38","0.354344","0.167982","1","92","2024-01-09 16:18:27"
"test","3","0","1","2","19","75","0","0","101","1013","2","1","72","28","0.119203","0.354344","0","19","2024-01-09 16:22:58"
"test","3","0","1","2","34","49","0","1","801","1185","0","1","72","28","0.832018","0.880797","0","34","2024-01-10 12:50:45"
"test","3","1","0","1","46","51","0","1","42","853","2","1","62","38","0.645656","0.450166","1","34","2024-01-10 12:50:50"
"test","3","0","0","0","0","0","0","0","1580","342287","1","0","62","38","0.768525","0.880797","1","0","2024-01-10 13:03:15"
"test","3","1","1","1","49","18","0","0","620","1644","1","2","72","28","0.119203","0.167982","0","49","2024-01-10 13:03:21"
"test","3","2","0","2","40","45","0","0","1558","2242","1","1","62","38","0.450166","0.167982","0","49","2024-01-10 13:03:27"
"test","3","3","1","2","40","45","0","0","2619","3829","1","0","72","28","0.167982","0.768525","1","49","2024-01-10 13:03:34"
"test","3","0","1","2","20","56","0","1","1676","2000","1","1","72","28","0.167982","0.549834","0","20","2024-01-10 13:05:21"
"random-2037604819","1","0","-1","2","0","0","0","1","100","316","0","1","50","50","0.768525","0.768525","0","0","2024-01-11 16:24:32"
"random-2037604819","1","1","-1","1","0","0","0","0","335","1350","1","1","50","50","0.119203","0.231475","0","0","2024-01-11 16:24:36"
"random-2037604819","1","2","-1","2","0","0","0","1","149","283","0","1","50","50","0.119203","0.119203","1","0","2024-01-11 16:24:41"
"random-2037604819","1","3","-1","1","0","0","0","0","133","283","0","1","50","50","0.768525","0.119203","0","0","2024-01-11 16:24:45"
"random-2037604819","2","0","1","1","64","48","0","1","832","1282","1","0","72","28","1","1","0","64","2024-01-11 16:25:08"
"random-2037604819","2","1","0","2","49","44","0","1","433","582","0","1","62","38","1","1","0","113","2024-01-11 16:25:12"
"random-2037604819","2","2","1","1","37","73","0","1","283","483","1","0","72","28","1","1","0","150","2024-01-11 16:25:17"
"random-2037604819","2","3","0","2","53","78","0","0","649","865","1","0","62","38","1","1","0","203","2024-01-11 16:25:21"
"random-2037604819","3","0","1","2","47","99","0","1","649","1216","1","2","72","28","0.880797","0.832018","0","0","2024-01-11 16:25:45"
"random-2037604819","3","1","0","1","21","62","0","0","200","733","1","2","62","38","0.832018","0.450166","0","21","2024-01-11 16:25:49"
"random-2037604819","3","2","1","2","43","66","0","1","383","951","1","2","72","28","0.450166","0.549834","1","21","2024-01-11 16:25:54"
