"prolificID","expName","session","t","pair","choice","outcome1","outcome2","choseLeft","op1IsLeft","moveTime","fireTime","leftCount","rightCount","ev1","ev2","p1","p2","m1","m2","name1","name2","destroyed","score","datetime"
"6543f7e306c0fc611aafc81d",,"1","35","5","2","5","5","1","0","615","882","1","0","1","3","0.16","0.63","0","0",,,"1","135","2024-02-07 15:42:29"
"6543f7e306c0fc611aafc81d",,"1","36","7","2","5","5","1","0","549","766","1","0","1","4","0.29","0.88","0","0",,,"1","140","2024-02-07 15:42:31"
"6543f7e306c0fc611aafc81d",,"1","37","8","2","5","5","1","0","482","649","1","0","1","4","0.29","0.71","0","0",,,"1","145","2024-02-07 15:42:34"
"6543f7e306c0fc611aafc81d",,"1","38","6","2","5","5","0","1","582","782","0","1","1","2","0.22","0.37","0","0",,,"1","150","2024-02-07 15:42:36"
"6543f7e306c0fc611aafc81d",,"1","39","9","2","5","5","1","0","432","599","1","0","2","4","0.37","0.84","0","0",,,"1","155","2024-02-07 15:42:38"
"6543f7e306c0fc611aafc81d",,"1","40","1","2","5","5","1","0","482","682","1","0","1","4","0.12","0.71","0","0",,,"0","155","2024-02-07 15:42:40"
"6543f7e306c0fc611aafc81d",,"1","41","14","2","5","5","1","0","748","931","1","0","3","4","0.63","0.78","0","0",,,"1","160","2024-02-07 15:42:43"
"6543f7e306c0fc611aafc81d",,"1","42","9","2","5","5","1","0","448","583","1","0","2","4","0.37","0.84","0","0",,,"1","165","2024-02-07 15:42:45"
"6543f7e306c0fc611aafc81d",,"1","43","4","2","5","5","1","0","448","583","1","0","1","4","0.16","0.84","0","0",,,"1","170","2024-02-07 15:42:47"
"6543f7e306c0fc611aafc81d",,"1","44","4","2","5","5","0","1","532","666","0","1","1","4","0.16","0.84","0","0",,,"1","175","2024-02-07 15:42:49"
"6543f7e306c0fc611aafc81d",,"1","45","3","2","5","5","0","1","865","965","0","1","1","1","0.12","0.22","0","0",,,"0","175","2024-02-07 15:42:52"
"6543f7e306c0fc611aafc81d",,"1","46","5","2","5","5","1","0","465","566","1","0","1","3","0.16","0.63","0","0",,,"1","180","2024-02-07 15:42:54"
"6543f7e306c0fc611aafc81d",,"1","47","11","2","5","5","0","1","799","1082","0","1","2","2","0.37","0.45","0","0",,,"0","180","2024-02-07 15:42:57"
"6543f7e306c0fc611aafc81d",,"1","48","3","2","5","5","0","1","732","865","0","1","1","1","0.12","0.22","0","0",,,"0","180","2024-02-07 15:42:59"
"6543f7e306c0fc611aafc81d",,"1","49","10","2","5","5","1","0","498","749","1","0","2","3","0.37","0.63","0","0",,,"0","180","2024-02-07 15:43:02"
"6543f7e306c0fc611aafc81d",,"1","50","1","2","5","5","0","1","549","699","0","1","1","4","0.12","0.71","0","0",,,"1","185","2024-02-07 15:43:04"
"6543f7e306c0fc611aafc81d",,"1","51","2","2","5","5","0","1","598","732","0","1","1","2","0.12","0.45","0","0",,,"1","190","2024-02-07 15:43:06"
"6543f7e306c0fc611aafc81d",,"1","52","13","2","5","5","0","1","848","1015","0","1","3","3","0.55","0.63","0","0",,,"0","190","2024-02-07 15:43:09"
"6543f7e306c0fc611aafc81d",,"1","53","3","2","5","5","0","1","632","799","0","1","1","1","0.12","0.22","0","0",,,"1","195","2024-02-07 15:43:11"
"6543f7e306c0fc611aafc81d",,"1","54","14","2","5","5","1","0","665","849","1","0","3","4","0.63","0.78","0","0",,,"1","200","2024-02-07 15:43:14"
"6543f7e306c0fc611aafc81d",,"1","55","13","2","5","5","1","0","981","1215","1","0","3","3","0.55","0.63","0","0",,,"0","200","2024-02-07 15:43:17"
"6543f7e306c0fc611aafc81d",,"1","56","0","2","5","5","0","1","465","649","0","1","1","4","0.12","0.88","0","0",,,"1","205","2024-02-07 15:43:19"
"6543f7e306c0fc611aafc81d",,"1","57","2","2","5","5","1","0","482","649","1","0","1","2","0.12","0.45","0","0",,,"0","205","2024-02-07 15:43:21"
"6543f7e306c0fc611aafc81d",,"1","58","9","2","5","5","1","0","432","599","1","0","2","4","0.37","0.84","0","0",,,"1","210","2024-02-07 15:43:23"
"6543f7e306c0fc611aafc81d",,"1","59","11","2","5","5","1","0","532","699","1","0","2","2","0.37","0.45","0","0",,,"0","210","2024-02-07 15:43:26"
"6543f7e306c0fc611aafc81d",,"1","60","2","2","5","5","0","1","432","616","0","1","1","2","0.12","0.45","0","0",,,"0","210","2024-02-07 15:43:28"
"6543f7e306c0fc611aafc81d",,"1","61","8","2","5","5","0","1","432","566","0","1","1","4","0.29","0.71","0","0",,,"1","215","2024-02-07 15:43:30"
"6543f7e306c0fc611aafc81d",,"1","62","15","2","5","5","1","0","849","965","1","0","4","4","0.78","0.88","0","0",,,"1","220","2024-02-07 15:43:33"
"6543f7e306c0fc611aafc81d",,"1","63","13","2","5","5","0","1","615","749","0","1","3","3","0.55","0.63","0","0",,,"1","225","2024-02-07 15:43:35"
"6543f7e306c0fc611aafc81d",,"2","0","12","2","5","5","0","1","1964","2298","0","1","3","4","0.55","0.88","0","0",,,"1","5","2024-02-07 15:44:14"
"6543f7e306c0fc611aafc81d",,"2","1","13","2","5","5","1","0","1164","1298","1","0","3","3","0.55","0.63","0","0",,,"0","5","2024-02-07 15:44:17"
"6543f7e306c0fc611aafc81d",,"2","2","12","2","5","5","1","0","564","715","1","0","3","4","0.55","0.88","0","0",,,"1","10","2024-02-07 15:44:20"
"6543f7e306c0fc611aafc81d",,"2","3","2","2","5","5","1","0","666","782","1","0","1","2","0.12","0.45","0","0",,,"1","15","2024-02-07 15:44:22"
"6543f7e306c0fc611aafc81d",,"2","4","14","2","5","5","1","0","598","749","1","0","3","4","0.63","0.78","0","0",,,"0","15","2024-02-07 15:44:24"
"6543f7e306c0fc611aafc81d",,"2","5","11","2","5","5","0","1","949","1082","0","1","2","2","0.37","0.45","0","0",,,"0","15","2024-02-07 15:44:27"
"6543f7e306c0fc611aafc81d",,"2","6","8","2","5","5","1","0","499","699","1","0","1","4","0.29","0.71","0","0",,,"1","20","2024-02-07 15:44:29"
"6543f7e306c0fc611aafc81d",,"2","7","14","2","5","5","1","0","665","815","1","0","3","4","0.63","0.78","0","0",,,"1","25","2024-02-07 15:44:32"
