agent,expName,model,0
6643670ad062f01ac1c4b788,FullPilot13,independent,3
6643670ad062f01ac1c4b788,FullPilot13,log-ratio,3
6643670ad062f01ac1c4b788,FullPilot13,single,3
664446cda39cd17787c271da,FullPilot14,independent,3
664446cda39cd17787c271da,FullPilot14,log-ratio,3
664446cda39cd17787c271da,FullPilot14,single,3
66463a2c0a36377060b1910c,FullPilot12,independent,3
66463a2c0a36377060b1910c,FullPilot12,log-ratio,3
66463a2c0a36377060b1910c,FullPilot12,single,3
6646731363eb9f583aa62e05,FullPilot12,independent,3
6646731363eb9f583aa62e05,FullPilot12,log-ratio,3
6646731363eb9f583aa62e05,FullPilot12,single,3
6646aa536ff16adfd7903930,FullPilot13,independent,3
6646aa536ff16adfd7903930,FullPilot13,log-ratio,3
6646aa536ff16adfd7903930,FullPilot13,single,3
6648c0d4fa3b00043396163e,FullPilot14,independent,3
6648c0d4fa3b00043396163e,FullPilot14,log-ratio,3
6648c0d4fa3b00043396163e,FullPilot14,single,3
664a7e1665f30b00d2685ba3,FullPilot12,independent,3
664a7e1665f30b00d2685ba3,FullPilot12,log-ratio,3
664a7e1665f30b00d2685ba3,FullPilot12,single,3
66569098a6bf70f056e8f1d0,FullPilot14,independent,3
66569098a6bf70f056e8f1d0,FullPilot14,log-ratio,3
66569098a6bf70f056e8f1d0,FullPilot14,single,3
665ba7a36d036dd09e9081c2,FullPilot13,independent,3
665ba7a36d036dd09e9081c2,FullPilot13,log-ratio,3
665ba7a36d036dd09e9081c2,FullPilot13,single,3
665c4e3dc160ab38d079635a,FullPilot12,independent,3
665c4e3dc160ab38d079635a,FullPilot12,log-ratio,3
665c4e3dc160ab38d079635a,FullPilot12,single,3
6669b17afde17ee81cebd908,FullPilot14,independent,3
6669b17afde17ee81cebd908,FullPilot14,log-ratio,3
6669b17afde17ee81cebd908,FullPilot14,single,3
667ac1826ce22f03fab354c3,FullPilot13,independent,3
667ac1826ce22f03fab354c3,FullPilot13,log-ratio,3
667ac1826ce22f03fab354c3,FullPilot13,single,3
667ad18688c9319e6559bdc4,FullPilot12,independent,3
667ad18688c9319e6559bdc4,FullPilot12,log-ratio,3
667ad18688c9319e6559bdc4,FullPilot12,single,3
668180f26a3b162091510589,FullPilot12,independent,3
668180f26a3b162091510589,FullPilot12,log-ratio,3
668180f26a3b162091510589,FullPilot12,single,3
66885d217777eda6f3a9b8dd,FullPilot14,independent,3
66885d217777eda6f3a9b8dd,FullPilot14,log-ratio,3
66885d217777eda6f3a9b8dd,FullPilot14,single,3
669628f0762cf2bfc381c161,FullPilot12,independent,3
669628f0762cf2bfc381c161,FullPilot12,log-ratio,3
669628f0762cf2bfc381c161,FullPilot12,single,3
66978d2616be96682f9f87ed,FullPilot14,independent,3
66978d2616be96682f9f87ed,FullPilot14,log-ratio,3
66978d2616be96682f9f87ed,FullPilot14,single,3
6697dfc91b0e8c6d62d7b472,FullPilot13,independent,3
6697dfc91b0e8c6d62d7b472,FullPilot13,log-ratio,3
6697dfc91b0e8c6d62d7b472,FullPilot13,single,3
6699628702676370f9e96d92,FullPilot13,independent,3
6699628702676370f9e96d92,FullPilot13,log-ratio,3
