agent,model,trial,session,ll,param_0,param_1
5484d361fdf99b0379939d5b,absolute,120,2,0.5743246928971217,1.0001363283909155,1.0000798493976124
5484d361fdf99b0379939d5b,absolute,121,2,0.1829298525822054,1.0001363283909155,1.0000798493976124
5484d361fdf99b0379939d5b,absolute,122,2,-0.5293269951687734,1.0001362361076371,1.0000797571195454
5484d361fdf99b0379939d5b,absolute,123,2,-2.118145412543612,1.0001362361076371,1.0000797571195454
5484d361fdf99b0379939d5b,absolute,124,2,-0.38278437898934214,1.000136570379586,1.0000801112150168
5484d361fdf99b0379939d5b,absolute,125,2,-1.0540480599228204,1.0001365685123047,1.000080109347841
5484d361fdf99b0379939d5b,absolute,126,2,0.07811626411013606,1.0001374968108692,1.000080992564167
5484d361fdf99b0379939d5b,absolute,127,2,-0.9772513919815253,1.0001407984276365,1.000085851363019
5484d361fdf99b0379939d5b,absolute,128,2,1.0405755954034817,1.000151911081613,1.0000858221563713
5484d361fdf99b0379939d5b,absolute,129,2,-0.5462040785437949,1.0001528929519297,1.0000872222701345
5484d361fdf99b0379939d5b,absolute,130,2,-0.7817289046816001,1.0001528927712546,1.0000874027369142
5484d361fdf99b0379939d5b,absolute,131,2,-0.7011698220308205,1.0001545465655226,1.0000874010813194
5484d361fdf99b0379939d5b,absolute,132,2,0.12901925749731902,1.0001544281889407,1.0000872827126848
5484d361fdf99b0379939d5b,absolute,133,2,-1.6762220677910875,1.0001544281889407,1.0000872827126848
5484d361fdf99b0379939d5b,absolute,134,2,0.6177095635774776,1.0001544127610253,1.0001026928189845
5484d361fdf99b0379939d5b,absolute,135,2,0.2521188570986084,1.0001552114872398,1.0001034942492553
5484d361fdf99b0379939d5b,absolute,136,2,-0.4786554594761867,1.0001561478703818,1.0001044265849428
5484d361fdf99b0379939d5b,absolute,137,2,0.44788134093073495,1.0001585343852928,1.0001069566106922
5484d361fdf99b0379939d5b,absolute,138,2,-0.4466250636680229,1.0001585324157112,1.0001089239022936
5484d361fdf99b0379939d5b,absolute,139,2,-0.8023338233191453,1.000158532230607,1.0001089237171985
5484d361fdf99b0379939d5b,absolute,140,2,-0.9040780824310701,1.0001585076637518,1.0001088991515619
5484d361fdf99b0379939d5b,absolute,141,2,-1.4018042438493836,1.0001585062828058,1.0001102784978357
5484d361fdf99b0379939d5b,absolute,142,2,0.2907700371801809,1.0001585334642635,1.0001102784706242
5484d361fdf99b0379939d5b,absolute,143,3,-0.7164306397221196,1.000158473984641,1.0001102189938713
5484d361fdf99b0379939d5b,absolute,144,3,-1.4768406135920316,1.0001535258819287,1.0001052711298921
5484d361fdf99b0379939d5b,absolute,145,3,-0.44617222484693286,1.0001535258819287,1.0001052711298921
5484d361fdf99b0379939d5b,absolute,146,3,-3.2181904176199936,1.0001578252942294,1.0001095705424004
5484d361fdf99b0379939d5b,absolute,147,3,0.6766743858303101,1.0001576269000547,1.0001102428047524
5484d361fdf99b0379939d5b,absolute,148,3,-1.1520400711195578,1.0001576201896665,1.0001291122652625
5484d361fdf99b0379939d5b,absolute,149,3,-0.6315804494253001,1.000160942128136,1.000132434203827
5484d361fdf99b0379939d5b,absolute,150,3,-0.15237480164073247,1.000160942128136,1.000132434203827
5484d361fdf99b0379939d5b,absolute,151,3,-0.9415913341848068,1.0001607026578245,1.0001321729801453
5484d361fdf99b0379939d5b,absolute,152,3,-1.0348673627208456,1.0001678946383106,1.000132165780013
5484d361fdf99b0379939d5b,absolute,153,3,-2.4252482563330346,1.000171046542637,1.0001353176844519
5484d361fdf99b0379939d5b,absolute,154,3,-1.695880026451519,1.0001709548850395,1.0001352260301286
5484d361fdf99b0379939d5b,absolute,155,3,-1.1632935264599382,1.0001720581892466,1.0001365854762585
5484d361fdf99b0379939d5b,absolute,156,3,-0.3786207640521013,1.0001745487938913,1.0001390760809916
5484d361fdf99b0379939d5b,absolute,157,3,0.2496654668062206,1.0001745378432845,1.000139065130773
5484d361fdf99b0379939d5b,absolute,158,3,1.9587639353946145,1.0001745378432845,1.000139065130773
5484d361fdf99b0379939d5b,absolute,159,3,0.4506759904589188,1.0001745378432845,1.000139065130773
5484d361fdf99b0379939d5b,absolute,160,3,-0.17331606425351254,1.0001749166499145,1.0001394483445838
5484d361fdf99b0379939d5b,absolute,161,3,-1.1911573605084271,1.0001749166499145,1.0001394483445838
5484d361fdf99b0379939d5b,absolute,162,3,-2.510444957153638,1.0001746022107596,1.0001410961192607
5484d361fdf99b0379939d5b,absolute,163,3,0.40151558933713716,1.0001746022107596,1.0001410961192607
5484d361fdf99b0379939d5b,absolute,164,3,-0.0691046203076553,1.0001964356287,1.000141528850635
5484d361fdf99b0379939d5b,absolute,165,3,-2.3356991657505546,1.000196252378336,1.0001413456103307
5484d361fdf99b0379939d5b,absolute,166,3,1.6179658354243003,1.000196252378336,1.0001413456103307
5484d361fdf99b0379939d5b,absolute,167,3,0.3324413003852271,1.0002008574009364,1.0001459506177186
5484d361fdf99b0379939d5b,absolute,168,3,-1.3974887648146392,1.0002002460939323,1.0001453393491493
5484d361fdf99b0379939d5b,absolute,169,3,-2.6248451419148893,1.0002003035564617,1.000145396811682
5484d361fdf99b0379939d5b,absolute,170,3,0.2463118363276635,1.0002003035564617,1.000145396811682
5484d361fdf99b0379939d5b,absolute,171,3,0.7021557833591601,1.0002012610186102,1.0001463562603503
5484d361fdf99b0379939d5b,absolute,172,3,-0.9665676211736383,1.0001994896930462,1.000144585032021
5484d361fdf99b0379939d5b,absolute,173,3,-2.203724382357848,1.0002000463649758,1.0001454943955472
5484d361fdf99b0379939d5b,absolute,174,3,1.564743208318049,1.000199329723411,1.0001447777930688
5484d361fdf99b0379939d5b,absolute,175,3,-1.6221672173309685,1.0002127131696306,1.0001447643942836
5484d361fdf99b0379939d5b,absolute,176,3,-1.7773084171171263,1.0002284831925023,1.0001605344182278
5484d361fdf99b0379939d5b,absolute,177,3,-1.428519346526599,1.000227242187902,1.0001592694446317
5484d361fdf99b0379939d5b,absolute,178,3,2.3978771505753116,1.000227242187902,1.0001592694446317
5484d361fdf99b0379939d5b,absolute,179,3,-1.4989177375408218,1.000227242187902,1.0001592694446317
5484d361fdf99b0379939d5b,absolute,180,3,1.3693667699042464,1.000227242187902,1.0001592694446317
5484d361fdf99b0379939d5b,absolute,181,3,-1.5579131284713412,1.0002266160633297,1.0001586433626093
5484d361fdf99b0379939d5b,absolute,182,3,-1.4680666012967691,1.0002323721687285,1.0001585941529993
5484d361fdf99b0379939d5b,absolute,183,3,-0.9816633099874679,1.0002323651472627,1.0001656069668048
5484d361fdf99b0379939d5b,absolute,184,3,-1.3822604315249265,1.0002323651472627,1.0001656069668048
5484d361fdf99b0379939d5b,absolute,185,3,1.7941196759445006,1.0002310335912077,1.0001642117056986
5484d361fdf99b0379939d5b,absolute,186,3,-0.06185115714534106,1.0002310335912077,1.0001642117056986
5484d361fdf99b0379939d5b,absolute,187,3,-0.2873368746620315,1.0002304402109286,1.000163618365061
5484d361fdf99b0379939d5b,absolute,188,3,-0.18140119025696322,1.0002275358367585,1.000160714184922
5484d361fdf99b0379939d5b,absolute,189,3,1.6336907652604822,1.000234556551482,1.0001677349001152
5484d361fdf99b0379939d5b,absolute,190,3,2.0200319291790265,1.0002345543794444,1.0001677327282228
5484d361fdf99b0379939d5b,absolute,191,3,-0.43174439577587975,1.0002345543794444,1.0001677327282228
5484d361fdf99b0379939d5b,absolute,192,3,0.2946625089294912,1.0002345543794444,1.0001677327282228
5484d361fdf99b0379939d5b,absolute,193,3,1.1228184297777801,1.0002354642841567,1.0001681911933222
5484d361fdf99b0379939d5b,absolute,194,3,-0.42565701300740955,1.0002350982286,1.0001678251623853
5484d361fdf99b0379939d5b,absolute,195,3,-2.1010772522372747,1.0002350982286,1.0001678251623853
5484d361fdf99b0379939d5b,absolute,196,3,1.0481483789995991,1.0002350982286,1.0001678251623853
5484d361fdf99b0379939d5b,absolute,197,3,-1.338634214317807,1.0002381829643865,1.0001707942984057
5484d361fdf99b0379939d5b,absolute,198,3,0.9636494083809737,1.0002377759067567,1.000173194149814
5484d361fdf99b0379939d5b,absolute,199,3,-0.9971087903931419,1.0002377759067567,1.000173194149814
5484d361fdf99b0379939d5b,absolute,200,3,-0.4001812403549252,1.0002377640336075,1.00018505260332
5484d361fdf99b0379939d5b,absolute,201,3,-1.8915365342087398,1.0002445387239332,1.0001760504257675
5484d361fdf99b0379939d5b,absolute,202,3,-0.4313560476088725,1.0002445387239332,1.0001760504257675
5484d361fdf99b0379939d5b,absolute,203,3,-2.537474552104783,1.0002485218927626,1.0001800335948698
5484d361fdf99b0379939d5b,absolute,204,3,-1.3233801937140726,1.000258738031969,1.0001800288608373
5484d361fdf99b0379939d5b,absolute,205,3,-1.9973418981114008,1.0002620324623528,1.0001801189176422
5484d361fdf99b0379939d5b,absolute,206,3,-0.976759956543745,1.0002774623382578,1.0001801030824622
5484d361fdf99b0379939d5b,absolute,207,3,-2.4935440067328187,1.0002774623382578,1.0001801030824622
